Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
1,23-04-2015,happay,Business Financial Tools,Bengaluru,AngelPrime,,,Seed,500000,2012,
2,29-04-2015,Tradelab,Investments/Wealth Management,Bengaluru,Rainmatter,,,Seed,400000,2015,
3,05-08-2015,Grex,Investments/Wealth Management,Pune,Kunal Bajaj, Chandru Badrinarayanan,,Seed,650000,2015,
4,11-08-2015,Infogain,Lending/Credit,New Delhi / US,ChrysCapital,,,Private Equity,63000000,1990,
5,12-08-2015,OneAssist,Lending/Credit,Mumbai,Sequoia India, Lightspeed Ventures,,Private Equity,7500000,2011,Series B
6,13-08-2015,IFMR Holdings,Lending/Credit,Chennai,Accion Venture Labs, LeapFrog Investments, Lok Capital,Private Equity,25000000,2008,Series B
7,09-12-2015,Aye Finance,Lending/Credit,New Delhi,SAIF Partners, Accion,,Private Equity,3000000,2014,Series B
8,10-12-2015,Chillr,Payments/Wallets,Mumbai,Sequoia India, Blume Ventures, Uniqorn Ventures,Private Equity,70000000,2014,Series A
9,02-02-2015,SmartPocket,Lending/Credit,Bengaluru,Sol Primero, Rajiv Mehta,,Seed,250000,2014,For mobile app
10,06-02-2015,FreeCharge,Payments/Wallets,Gurugram,Valiant Capital, Tybourne Capital, Sequoia Capital,Private Equity,80000000,2011,Series C
11,11-02-2015,Capital Float,Lending/Credit,Bengaluru,SAIF Partners, Sequoia Capital, Aspada,Private Equity,13000000,2013,Series A
12,13-02-2015,Itzcash,Payments/Wallets,Mumbai,Ashok Goel,,,Private Equity,16500000,2006,Promoter Commitment
13,27-02-2015,Momoe,Payments/Wallets,Bengaluru,IDG Ventures India, Jungle Ventures, India Quotient.,Seed,1200000,2014,
14,06-01-2015,Tookitaki,Other Specialized Fintech,Singapore,Jungle Ventures, Redbright Partners, Blume Ventures,Private Equity,1000000,2014,
15,15/01.2015,Wishberry,Other Specialized Fintech,Mumbai,Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others,Seed,650000,2012,
16,02-07-2015,BankBazaar,Lending/Credit,Chennai,Amazon, Fidelity Growth Partners, Mousse Partners,Private Equity,60000000,2008,Series C(More here)
17,08-07-2015,Lendingkart,Lending/Credit,Ahmedabad,Saama Capital, Mayfield, Ashvin Chadha,Private Equity,10000000,2014,Series A
18,20-07-2015,Innoviti,Payments/Wallets,Bengaluru,Catamaran Ventures, New India Investment Corporation,,Private Equity,4850000,2002,Series A
19,22-07-2015,deGustibus,Other Specialized Fintech,Mumbai,India Value Fund Advisors,,,Private Equity,30000000,1996,Late Stage
20,30-07-2015,Pragmatix,Investments/Wealth Management,Mumbai,SIDBI Venture Capital Ltd,,,Private Equity,2400000,2012,Series A
21,11-06-2015,Faircent.com,Lending/Credit,Gurugram,M&S Partners Pte. Ltd,,,Seed,250000,2013,Pre-Series A
22,19-06-2015,FundsIndia.com,Investments/Wealth Management,Chennai,Faering Capital, Foundation Capital, Inventus Capital Partners,Private Equity,11000000,2009,Series C
23,20-06-2015,Tracxn,Other Specialized Fintech,Bengaluru,Sachin Bansal, Bunny Bansal & other investors,,Private Equity,10000000,2013,Series A
24,25-06-2015,Fusion Microfinance,Lending/Credit,New Delhi,Development finance institution (Belgian Investment Company), Oikocredit,,Private Equity,8600000,2010,Series C
25,26-06-2015,CreditMantri,Lending/Credit,Chennai,IDG Ventures India, Elevar Equity, Accion Venture Lab,Private Equity,2500000,2012,Series A
26,11-03-2015,ChargeBee,Business Financial Tools,Chennai,Tiger Global, Accel Partners,,Private Equity,5000000,2011,Series B
27,23-03-2015,RazorPay,Payments/Wallets,Mumbai,Y Combinator,,,Seed,120000,2014,
28,25-03-2015,Artoo,Lending/Credit,Bengaluru,Accion Venture Labs, Rianta Capital,,Private Equity,500000,2010,Series A
29,25-03-2015,Fxkart.com,Other Specialized Fintech,Bengaluru,Dr Mushtaq Shah, Dr Faraz Naqvi,,Seed,2000000,2014,
30,30-03-2015,Arohan Financial Services,Lending/Credit,Kolkata,Tano Capital,,,Private Equity,10000000,2006,
31,30-03-2015,BillDesk,Payments/Wallets,Mumbai,TA Associates,,,Private Equity,75000000,2000,Incremental Capital
32,01-05-2015,Termsheet,Investments/Wealth Management,Chennai,Anand Vijay, Nipun Dureja, Satyajit Heeralal,Seed,100000,2015,
33,05-05-2015,Fintellix,Financial Infrastructure/BaaS,Bengaluru,IDG Ventures India, Sequoia Capital,,Private Equity,15000000,2008,Series C
34,03-11-2015,Pokkt,Other Specialized Fintech,Mumbai,Segnel Venture, Shinji Kimura, Sundar Chanrai,Private Equity,5000000,2012,Series B
35,09-10-2015,Cloud Lending,Lending/Credit,Bengaluru,SF Capital Group,,,Private Equity,8000000,2012,Series A
36,19-10-2015,Citrus Payment,Payments/Wallets,Mumbai,Sequoia India, Ascent Capital, eContext Asia,Private Equity,25000000,2011,Series C
37,26-10-2015,Razorpay,Payments/Wallets,Jaipur,Tiger Global, Matrix Partners,,Private Equity,9000000,2014,Series A
38,28-10-2015,ORIGA Leasing,Lending/Credit,Mumbai,ah! Ventures, 500 Startups & Other HNIs,,Seed,1100000,2015,
39,01-09-2015,TOFlo,Lending/Credit,Mumbai,Tania Johny Palathinkal,,,Seed,100000,2016,
40,03-09-2015,Vistaar Finance,Lending/Credit,Bengaluru,Westbridge Capital, Omidyar Network, Elevar Equity,Private Equity,40000000,2010,
41,21-09-2015,Neotrade Analytics,Other Specialized Fintech,Bengaluru,Rainmatter,,,Seed,235000,2013,
42,22-09-2015,Bestdealfinance,Lending/Credit,Mumbai,Kalaari Capital, YourNest Angel Fund,,Private Equity,3000000,2014,Series A
43,22-09-2015,LogiNext,Other Specialized Fintech,Mumbai,Paytm,,,Private Equity,10000000,2015,Series A
44,15-02-2016,Buddy,Lending/Credit,Bengaluru,Blume Ventures,  Tracxn Labs,,Seed,500000,2014,
45,19-01-2016,Villgro,Investments/Wealth Management,Chennai,Lemelson Foundation, Michael & Susan Dell Foundation,,Private Equity,3500000,2001,
